time,pos_x_gt,pos_y_gt,vel_x_gt,vel_y_gt,heading_gt,angular_vel_gt,measured_pos_x,measured_pos_y,measured_heading
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20832879435692223,-0.03560043447748118,-0.03573885296270181
1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.051268310099533025,-0.08003314318794261,0.017055678407374195
2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08735049052187105,0.07814383553148772,-0.09163835896309265
3.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09662710083471104,0.03103343547827213,0.008635250021544453
4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19402179690546337,-0.009508901975546871,-0.014513084281839703
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05590377332212074,-0.0837328831605304,0.013214710005432838
6.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10308306145468282,0.022420634615976986,0.09906673972310796
7.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03977403433311391,-0.10831813725269593,0.027125603421087142
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12701105034171253,0.009792031104242607,-0.08826257197751208
9.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00047273702388365914,-0.20419294009841452,0.015301730425027475
10.0,0.05,0.0,0.05,0.0,0.0,0.0,0.18342057004688378,0.011242432421640785,0.08823243099737708
11.0,0.14500000000000002,0.0,0.095,0.0,0.0,0.0,0.19986346947355882,0.05053582058223878,-0.03329937893985565
12.0,0.2805,0.0,0.1355,0.0,0.0,0.0,0.17863694107477368,0.0834957019259327,0.04748581210537738
13.0,0.45245,0.0,0.17195000000000002,0.0,0.0,0.0,0.15174663331723892,-0.008028159519560317,0.05281590441632078
14.0,0.657205,0.0,0.20475500000000002,0.0,0.0,0.0,0.5696646844197493,-0.12294883490485042,0.050398717075540535
15.0,0.8914845,0.0,0.23427950000000003,0.0,0.0,0.0,1.0814555211452395,-0.062016383679939294,-0.12199333278705878
16.0,1.1523360500000002,0.0,0.26085155000000004,0.0,0.0,0.0,1.237846757885598,0.06514695862225522,0.0012476396142911388
17.0,1.4371024450000003,0.0,0.28476639500000006,0.0,0.0,0.0,1.441819820532311,-0.08188675597693934,0.07777414507210972
18.0,1.7433922005000002,0.0,0.30628975550000004,0.0,0.0,0.0,1.7422827782254904,-0.17778364808385386,-0.053000533118847795
19.0,2.0690529804500004,0.0,0.32566077995000003,0.0,0.0,0.0,1.9793728720985404,0.08536919244104563,-0.041878696554348165
20.0,2.4121476824050005,0.0,0.343094701955,0.0,0.008726646259971648,0.008726646259971648,2.4344735091188894,-0.0657702881154395,0.08613357670534728
21.0,2.7709329141645007,0.0,0.3587852317595,0.0,0.02530727415391778,0.016580627893946133,2.6180389721379425,0.142322763799503,0.08843658217013733
22.0,3.1438396227480507,0.0,0.37290670858355,0.0,0.04895648551844095,0.02364921136452317,3.168902374103098,0.06119234582442245,0.09539797170356706
23.0,3.529455660473246,0.0,0.38561603772519504,0.0,0.07896742200648345,0.030010936488042497,3.7596887810272173,-0.059618193503025996,0.02723276811761207
24.0,3.9265100944259212,0.0,0.39705443395267553,0.0,0.11470391110569333,0.035736489099209894,3.9301640685650083,0.015927035783607404,0.14150616166691515
25.0,4.333859084983329,0.0,0.407348990557408,0.0,0.15559339755495388,0.04088948644926055,4.462760091683944,0.005466715739127653,0.2103432936057827
26.0,4.750473176484997,0.0,0.41661409150166717,0.0,0.20112058161926002,0.04552718406430614,4.571062503364267,-0.07534678726053717,0.22376738343332322
27.0,5.175425858836498,0.0,0.42495268235150047,0.0,0.2508216935371072,0.04970111191784717,5.269259091122819,-0.026543814635997105,0.17712158986217968
28.0,5.607883272952848,0.0,0.4324574141163504,0.0,0.3042793405231413,0.0534576469860341,5.701992521733802,-0.016208193770797085,0.3055805223540305
29.0,6.047094945657563,0.0,0.4392116727047154,0.0,0.36111786907054366,0.05683852854740234,6.098957340550393,0.19929272143254118,0.44749810353173997
30.0,6.492385451091807,0.0,0.44529050543424387,0.0,0.41227254476320574,0.051154675692662105,6.5409934497977735,0.09499594742938411,0.3923478027566375
31.0,6.943146905982626,0.0,0.4507614548908195,0.0,0.45831175288660164,0.046039208123395896,6.934625502479374,-0.037015566277434235,0.45445104764837124
32.0,7.398832215384364,0.0,0.4556853094017375,0.0,0.4997470401976579,0.04143528731105631,7.258932894473776,0.1409157111163323,0.5676414496856161
33.0,7.858948993845928,0.0,0.46011677846156374,0.0,0.5370387987776086,0.03729175857995068,7.783642055027753,-0.09646810322266249,0.6007297919677088
34.0,8.323054094461336,0.0,0.4641051006154074,0.0,0.5706013814995643,0.033562582721955614,8.396081041801025,0.05689113151183089,0.5258134667504152
35.0,8.790748685015203,0.0,0.46769459055386664,0.0,0.6008077059493243,0.030206324449760052,8.706536070571508,0.14908593197381675,0.55173942679075
36.0,9.261673816513683,0.0,0.47092513149848,0.0,0.6279933979541084,0.027185692004784046,9.305458365655106,0.0937429128690695,0.6530848476179987
